"listing_heading","listing_price","İlan no","Son Güncelleme Tarihi","Konut Tipi","Oda + Salon Sayısı","Brüt / Net M2","Bulunduğu Kat","Bina Yaşı","Isınma Tipi","Kat Sayısı","Eşya Durumu","Banyo Sayısı","Yapı Tipi","Yapının Durumu","Kullanım Durumu","Tapu Durumu","Aidat","Cephe","Depozito","Yakıt Tipi","Ada No","Parsel No","Yetkili Ofis","Krediye Uygunluk","Site İçerisinde","Takas",""
"MENDERES MH.DE 2+1 ÇİFT CEPHE ARAKAT 85 M2 ARAKAT KİRALIK DAİRE","14.000 TL","147777-163","19-10-2024","Daire","2 + 1","84 m2","2. Kat","25 Yaşında","Isıtma Yok","3 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","Kat İrtifakı","50 TL","Güney, Doğu","14.000 TL","Elektrik","7608","4","Evet","","","",""
"MARKA'DAN H.AĞA BAHÇESİ 100 MT 1+1 D.GAZLI&EŞYALI&ARAKAT KİRALIK","15.000 TL","71024-1044","19-10-2024","Daire","1 + 1","55 m2","2. Kat","4 Yaşında","Kombi","4 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Kuzey, Güney","","","","","","Uygun değil","","",""
"BORANEM--UÇAN YOL MEVKİSİNDE LÜX 3+1 GENİŞ DAİRE","26.000 TL","34917-394","14-10-2024","Daire","3 + 1","145 m2","Ara Kat","11 Yaşında","Kombi","4 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","","100 TL","Kuzey","50.000 TL","Doğalgaz","","","","","","",""
"YENİGÜN BÖLGESİNDE KİRALIK 3+1 DAİRE","35.000 TL","14003-1481","19-10-2024","Daire","3 + 1","140 m2","2. Kat","Sıfır Bina","Merkezi (Pay Ölçer)","11 Katlı","Eşyalı Değil","2","Betonarme","Sıfır","Boş","","1.250 TL","","35.000 TL","Doğalgaz","","","","","","",""
"BUCA MURATHAN MH EVKA-1 VE YEDİ GÖLLER YAKINI MÜSTAKİL DUBLEX 4+1 150M2 DOĞALGAZLI KİRALIK EV","30.000 TL","23746-17336","10-10-2024","Müstakil Ev","4 + 1","150 m2","","25 Yaşında","Kombi","1 Katlı","Eşyalı Değil","2","Betonarme","İkinci El","Boş","Kat Mülkiyeti","","Güney, Doğu","30.000 TL","Doğalgaz","","","Evet","","","",""
"GOLDİA YAPI'DAN KAMPÜS YAKINI 1+1 KİRALIK DAİRE","16.000 TL","142618-217","17-10-2024","Daire","1 + 1","50 m2","Ara Kat","4 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","","Boş","Kat İrtifakı","","Kuzey, Güney, Doğu, Batı","","Doğalgaz","","","Evet","","","",""
"Burak Kul'dan Buca Adatepe de 1+1 Full Eşyalı Kiralık Daire","13.000 TL","2195-3531","13-10-2024","Daire","1 + 1","52 m2","Bahçe Katı","5 Yaşında","Klima","2 Katlı","Eşyalı","1","","","Boş","Kat Mülkiyeti","250 TL","Kuzey, Doğu","","","","","","Uygun değil","","",""
"BUCA YENİGÜN'DE KAYMAKAMLIK HALK EĞİTİM KARŞISI 3+1 120 M2 ARAKAT BALKONLU KİRALIK DAİRE","14.000 TL","111716-984","19-10-2024","Daire","3 + 1","125 m2","2. Kat","15 Yaşında","Klima","4 Katlı","Eşyalı Değil","1","Betonarme","","Boş","","","Doğu, Batı","14.000 TL","Elektrik","","","","","","",""
"ŞİRİNYER İZBANA YAKIN 1+1","12.000 TL","142604-70","15-10-2024","Daire","2 + 1","42 m2","En Üst Kat","5 Yaşında","Soba","4 Katlı","Eşyalı","1","Betonarme","İkinci El","Boş","","","","24.000 TL","Elektrik","","","Evet","","","",""
"ŞİRİNYER LALELİ’DE 2+1","19.000 TL","142604-72","15-10-2024","Daire","2 + 1","85 m2","Ara Kat","6 Yaşında","Kombi","4 Katlı","Eşyalı Değil","1","Betonarme","Sıfır","Boş","","","Kuzey","38.000 TL","Doğalgaz","","","Evet","","","",""
"Çevikbir meydanı ve SSK Hastanesine2 Dk Mesafede 2+1 Daire","23.000 TL","0-43232517","23-08-2024","Daire","2 + 1","115 m2","Ara Kat","9 Yaşında","Kombi","5 Katlı","Eşyalı Değil","1","Betonarme","İkinci El","Boş","","100 TL","","30.000 TL","Doğalgaz","","","","","","",""
"bucaPARİSA'DAN KADIN DOĞUM HASTANESİ YANI KLİMALI 3+1","16.000 TL","143816-20","16-10-2024","Daire","3 + 1","140 m2","1. Kat","21 Yaşında","Klima","3 Katlı","Eşyalı Değil","1","","","Boş","Kat Mülkiyeti","20 TL","Kuzey, Doğu, Batı","","","","","","Uygun değil","","",""
"BAŞOĞLU'NDAN ŞİRİNYER MERKEZDE 3+1 DAİRE","22.500 TL","129980-624","14-10-2024","Daire","3 + 1","140 m2","En Üst Kat","25 Yaşında","Kombi","3 Katlı","","2","","","Boş","Kat İrtifakı","","Batı","22.500 TL","","","","Evet","","","",""
"BUCA I ULUSALOFIS GAYRIMENKUL 2+1 ESYALİ KİRALİK  DAIRE","22.000 TL","9163-974","04-09-2024","Daire","2 + 1","110 m2","2. Kat","35 Yaşında","Kombi","5 Katlı","Eşyalı","1","Betonarme","İkinci El","Belirtilmemiş","","100 TL","Doğu, Batı","22 TL","Doğalgaz","","","Evet","","","",""
"HASANAĞA BAHÇESİ ÜNİVERSİTE ARKASI EŞYAŞI GENİŞ BALKONLU KİRALIK DAİRE","18.000 TL","145398-45","28-09-2024","Daire","11 + 18","60 m2","2. Kat","8 Yaşında","Merkezi (Pay Ölçer)","6 Katlı","Eşyalı","1","Betonarme","","Boş","","","","","Doğalgaz","","","","","","",""
"KURUÇEŞME MAH ARAKAT DOĞALGAZLI KLİMALI 1+1 KİRALIK DAİRE","14.000 TL","145175-65","12-10-2024","Daire","1 + 1","50 m2","4. Kat","4 Yaşında","Kombi","6 Katlı","Eşyalı Değil","1","","","Boş","Kat İrtifakı","400 TL","","","","","","","Uygun değil","","",""
"ADATEPE DE KİRALIK EŞYALI DAİRE","16.000 TL","145398-54","28-09-2024","Daire","1 + 1","55 m2","2. Kat","8 Yaşında","Klima","4 Katlı","Eşyalı","1","","","","Kat İrtifakı","","","","","","","","","","",""
"MARKADAN 1+0 EŞYALI DOĞALGAZLI VE KLİMALI KİRALIK DAİRE","12.500 TL","71024-1039","19-10-2024","Daire","1 + 0","50 m2","2. Kat","4 Yaşında","Kombi","3 Katlı","Eşyalı","1","","","Boş","Kat İrtifakı","","Güney","","","","","","Uygun değil","","",""
